Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Age_group
Single,General,2,Health/Medicine,1,Secondary Education,135.0,1,Secondary,Basic Education,Clerical,Other,133.5,1,0,0,1,Female,0,19,0,0,8,8,8,13.3425,0,0,8,8,8,13.3425,0,9.4,-0.8,-3.12,Graduate,17-19
Single,General,4,Health/Medicine,1,Secondary Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,133.2,1,0,0,1,Female,1,20,0,0,7,10,7,14.175,0,0,8,14,6,13.03125,0,15.5,2.8,-4.06,Graduate,20-22
Married/Union,Transfer/Change,1,Health/Medicine,1,Secondary Education,100.0,1,No Schooling/Primary,No Schooling/Primary,Clerical,Clerical,130.0,0,0,0,1,Male,1,33,0,0,8,16,1,10.0,1,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled,30+
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,160.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,129.0,0,0,0,1,Male,0,24,0,0,5,9,0,0.0,0,0,5,8,2,14.5,2,7.6,2.6,0.32,Dropout,23-25
Single,Transfer/Change,1,Business/Economy,0,Basic Education,133.1,1,Higher Education,Secondary,Professionals,Clerical,100.0,0,0,0,1,Male,0,24,0,0,5,7,0,0.0,0,0,5,7,0,0.0,0,16.2,0.3,-0.92,Dropout,23-25
Single,General,1,Engineering/Tech,1,Secondary Education,128.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,116.5,1,0,0,1,Male,0,18,0,0,5,6,5,12.0,0,0,5,8,5,12.142857142857142,0,10.8,1.4,1.74,Graduate,17-19
Single,General,2,Business/Economy,1,Secondary Education,121.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,124.2,1,0,0,1,Female,1,18,0,0,6,8,6,10.571428571428571,0,0,6,9,5,11.4,0,16.2,0.3,-0.92,Graduate,17-19
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,127.0,1,Higher Education,Higher Education,Professionals,Plant/Machine,138.8,1,0,0,1,Female,0,22,0,4,12,19,11,14.153846153846152,0,5,12,20,12,15.428571428571429,0,8.9,1.4,3.51,Graduate,20-22
Single,General,1,Arts/Communication,1,Secondary Education,132.0,1,Higher Education,Secondary,Elementary,Elementary,126.4,1,1,0,1,Female,1,18,0,0,6,9,6,11.166666666666666,0,0,6,11,5,12.4,0,10.8,1.4,1.74,Graduate,17-19
Single,General,1,Arts/Communication,1,Secondary Education,147.0,1,Basic Education,Basic Education,Technicians,Other,151.9,1,0,0,1,Female,0,21,0,13,17,20,17,12.0,0,14,17,18,17,12.666666666666666,0,11.1,0.6,2.02,Graduate,20-22
Married/Union,Transfer/Change,1,Business/Economy,0,Secondary Education,110.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Managers,120.0,1,0,0,1,Female,0,38,0,0,5,11,3,11.333333333333334,0,0,5,9,4,12.0,0,9.4,-0.8,-3.12,Dropout,30+
Single,Transfer/Change,1,Social Sciences,1,Secondary Education,142.0,1,Other,Other,Unknown,Unknown,131.9,0,0,0,1,Female,1,29,0,9,16,17,16,12.588235294117649,0,10,13,14,13,13.357142857142858,0,9.4,-0.8,-3.12,Graduate,26-29
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Clerical,Elementary,130.0,1,0,0,1,Female,1,20,0,0,6,11,4,12.0,0,0,6,9,4,10.75,0,16.2,0.3,-0.92,Enrolled,20-22
Single,General,1,Business/Economy,1,Secondary Education,131.0,1,No Schooling/Primary,No Schooling/Primary,Clerical,Elementary,131.7,1,0,0,0,Female,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,17-19
Married/Union,Transfer/Change,1,Business/Economy,0,Secondary Education,110.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,132.5,0,0,0,1,Male,0,37,0,7,12,13,12,12.25,0,8,13,13,13,12.846153846153848,0,9.4,-0.8,-3.12,Graduate,30+
Single,General,3,Business/Economy,1,Secondary Education,128.0,1,Higher Education,Higher Education,Service/Sales,Other,116.5,0,0,0,1,Male,0,20,0,0,5,7,5,11.6,0,0,5,5,5,12.8,0,12.4,0.5,1.79,Graduate,20-22
Single,General,1,Engineering/Tech,1,Secondary Education,136.0,1,Basic Education,Basic Education,Unknown,Plant/Machine,133.9,1,0,0,0,Male,0,20,0,0,5,7,4,13.0,0,0,5,11,3,12.0,2,10.8,1.4,1.74,Dropout,20-22
Married/Union,Transfer/Change,1,Engineering/Tech,1,Secondary Education,120.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Other,145.4,0,0,1,1,Male,0,40,0,0,5,11,3,10.666666666666666,0,0,5,5,2,12.5,0,16.2,0.3,-0.92,Dropout,30+
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,140.0,1,No Schooling/Primary,Higher Education,Elementary,Other,172.0,0,0,0,1,Male,0,44,0,5,11,21,9,12.333333333333334,0,8,11,16,9,11.0,0,12.4,0.5,1.79,Enrolled,30+
Single,General,1,Business/Economy,1,Secondary Education,118.0,1,Secondary,Secondary,Elementary,Elementary,111.0,0,0,0,0,Male,0,21,0,0,5,7,2,11.0,0,0,5,9,3,11.428571428571429,0,10.8,1.4,1.74,Dropout,20-22
Single,Transfer/Change,1,Arts/Communication,1,Higher Education,120.0,1,Higher Education,Basic Education,Technicians,Plant/Machine,120.0,0,0,0,1,Male,0,21,0,2,7,10,6,13.428571428571429,0,5,9,9,8,13.125,0,16.2,0.3,-0.92,Graduate,20-22
Single,General,6,Health/Medicine,1,Secondary Education,151.0,1,Higher Education,Secondary,Professionals,Managers,129.8,1,0,0,1,Male,0,18,0,0,8,10,8,13.05375,2,0,8,10,8,13.05375,2,9.4,-0.8,-3.12,Graduate,17-19
Single,General,5,Health/Medicine,1,Secondary Education,130.0,1,Secondary,Higher Education,Elementary,Other,118.1,1,0,0,1,Male,0,18,0,0,7,10,6,12.035714285714286,0,0,8,9,7,13.75,0,13.9,-0.3,0.79,Enrolled,17-19
Single,Transfer/Change,1,Agriculture,1,Secondary Education,140.0,1,Higher Education,Secondary,Service/Sales,Elementary,130.0,0,0,0,1,Male,0,27,0,0,6,6,6,14.166666666666666,0,0,6,7,6,13.833333333333334,0,11.1,0.6,2.02,Graduate,26-29
Married/Union,Transfer/Change,1,Arts/Communication,1,Basic Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Elementary,Other,126.3,0,0,0,0,Male,0,38,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,10.8,1.4,1.74,Dropout,30+
Single,General,1,Engineering/Tech,1,Secondary Education,146.0,1,Higher Education,Higher Education,Service/Sales,Professionals,137.8,0,0,0,1,Male,0,18,0,0,6,11,5,13.6,0,0,6,13,3,12.666666666666666,0,13.9,-0.3,0.79,Dropout,17-19
Single,General,4,Business/Economy,1,Secondary Education,122.0,1,Secondary,Secondary,Clerical,Professionals,116.1,1,0,0,1,Male,0,19,0,0,6,7,5,12.2,0,0,6,12,2,12.0,0,7.6,2.6,0.32,Enrolled,17-19
Single,General,1,Engineering/Tech,1,Secondary Education,121.0,1,Higher Education,Basic Education,Professionals,Elementary,115.4,1,0,0,1,Male,0,18,0,0,6,8,6,13.714285714285714,0,0,6,7,5,13.333333333333334,0,15.5,2.8,-4.06,Dropout,17-19
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,127.0,1,Secondary,Secondary,Elementary,Agriculture/Fishery,110.0,0,0,1,0,Male,0,19,0,0,6,10,3,11.666666666666666,0,0,6,11,2,10.0,0,16.2,0.3,-0.92,Dropout,17-19
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Unknown,Unknown,97.4,0,0,1,0,Male,0,44,0,0,6,9,1,14.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout,30+
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,130.0,1,Secondary,Secondary,Clerical,Clerical,130.0,1,1,0,1,Male,0,26,0,2,6,20,4,12.5,0,1,6,16,3,10.0,0,15.5,2.8,-4.06,Dropout,26-29
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,156.0,1,Basic Education,Secondary,Elementary,Clerical,156.0,0,0,1,0,Male,0,24,0,0,6,11,5,11.833333333333334,0,0,6,11,4,11.5,0,15.5,2.8,-4.06,Dropout,23-25
Single,Transfer/Change,1,Agriculture,1,Secondary Education,130.0,1,Basic Education,Secondary,Elementary,Agriculture/Fishery,126.1,1,0,0,0,Male,0,27,0,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Dropout,26-29
Single,Transfer/Change,1,Agriculture,1,Secondary Education,110.0,1,Secondary,Secondary,Elementary,Clerical,120.0,0,0,1,0,Male,0,27,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout,26-29
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,108.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,105.2,1,0,0,1,Male,0,25,0,11,17,18,13,11.538461538461538,0,10,15,15,10,12.4,0,12.7,3.7,-1.7,Dropout,23-25
Single,Transfer/Change,1,Agriculture,1,Secondary Education,120.0,1,Higher Education,Higher Education,Professionals,Agriculture/Fishery,120.0,1,0,0,1,Male,0,21,0,4,9,14,7,11.285714285714286,2,2,8,15,4,12.25,0,12.7,3.7,-1.7,Enrolled,20-22
Single,General,1,Arts/Communication,1,Secondary Education,150.0,1,No Schooling/Primary,Basic Education,Elementary,Elementary,137.8,1,0,0,1,Male,1,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Graduate,17-19
Single,General,2,Arts/Communication,1,Secondary Education,152.0,1,Other,Other,Technicians,Technicians,134.2,1,0,0,1,Male,0,20,0,0,6,7,5,11.8,0,0,6,9,4,12.0,0,15.5,2.8,-4.06,Enrolled,20-22
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,150.0,1,Basic Education,Higher Education,Service/Sales,Professionals,150.0,0,0,0,1,Male,0,20,0,0,5,16,0,0.0,0,0,5,12,2,10.5,0,12.7,3.7,-1.7,Enrolled,20-22
Single,General,5,Engineering/Tech,1,Secondary Education,123.0,1,Higher Education,Secondary,Professionals,Elementary,116.0,1,0,1,0,Male,0,20,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout,20-22
Single,General,1,Engineering/Tech,1,Secondary Education,150.0,1,Secondary,Secondary,Technicians,Technicians,143.4,0,0,0,0,Male,1,18,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,8.9,1.4,3.51,Enrolled,17-19
Single,General,1,Arts/Communication,1,Secondary Education,145.0,1,Higher Education,Higher Education,Technicians,Technicians,143.6,0,0,1,1,Male,0,19,0,5,12,12,10,12.7,0,4,11,16,10,12.272727272727272,0,8.9,1.4,3.51,Enrolled,17-19
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,150.0,1,Secondary,No Schooling/Primary,Clerical,Plant/Machine,150.0,1,0,0,0,Female,0,22,0,1,6,10,3,12.666666666666666,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,20-22
Single,General,4,Business/Economy,1,Secondary Education,125.0,1,Higher Education,Basic Education,Professionals,Service/Sales,118.0,1,0,0,1,Female,0,19,0,0,6,7,6,14.428571428571429,0,0,6,8,6,15.0,2,16.2,0.3,-0.92,Graduate,17-19
Single,General,4,Health/Medicine,1,Secondary Education,117.0,1,Secondary,Secondary,Clerical,Craft/Trade,109.3,1,0,0,1,Female,1,18,0,0,7,7,7,13.117142857142856,0,0,8,9,7,12.6,0,11.1,0.6,2.02,Graduate,17-19
Single,General,2,Social Sciences,1,Secondary Education,121.0,1,Basic Education,Basic Education,Elementary,Craft/Trade,119.3,1,0,1,1,Female,0,20,0,0,6,7,6,12.666666666666666,0,0,6,7,6,11.833333333333334,0,8.9,1.4,3.51,Graduate,20-22
Single,General,1,Arts/Communication,1,Secondary Education,140.0,41,Secondary,Secondary,Service/Sales,Craft/Trade,146.3,1,0,0,1,Female,1,18,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout,17-19
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,130.0,1,Secondary,Basic Education,Managers,Technicians,161.5,0,0,0,1,Male,0,36,0,0,6,7,6,15.285714285714286,0,0,6,6,6,16.5,0,10.8,1.4,1.74,Graduate,30+
Single,Special/Island/Ordinance,1,Business/Economy,1,Secondary Education,140.0,26,No Schooling/Primary,Higher Education,Agriculture/Fishery,Clerical,140.0,0,0,1,1,Male,0,19,1,0,5,12,3,10.5,0,0,5,8,4,11.25,0,12.4,0.5,1.79,Graduate,17-19
Single,Transfer/Change,1,Business/Economy,1,Higher Education,140.0,1,Secondary,Secondary,Agriculture/Fishery,Agriculture/Fishery,142.2,0,0,0,1,Male,1,21,0,6,11,11,11,12.636363636363637,0,3,9,11,9,12.6,0,8.9,1.4,3.51,Graduate,20-22
Single,General,1,Business/Economy,1,Secondary Education,140.0,1,Basic Education,No Schooling/Primary,Elementary,Elementary,129.2,1,0,0,1,Female,0,26,0,0,5,6,0,0.0,0,0,5,0,0,0.0,0,15.5,2.8,-4.06,Dropout,26-29
Single,Transfer/Change,1,Agriculture,1,Secondary Education,140.0,41,Secondary,Secondary,Elementary,Elementary,100.0,0,0,1,0,Female,0,29,1,3,9,9,3,14.333333333333334,0,1,7,8,1,14.0,0,15.5,2.8,-4.06,Dropout,26-29
Single,Transfer/Change,1,Business/Economy,1,Higher Education,170.0,1,Basic Education,Higher Education,Elementary,Technicians,170.0,0,0,0,0,Male,0,26,0,2,8,14,8,15.125,0,1,6,12,6,13.666666666666666,0,11.1,0.6,2.02,Enrolled,26-29
Single,Other,1,Health/Medicine,1,Higher Education,140.0,1,Higher Education,Basic Education,Professionals,Agriculture/Fishery,140.0,0,0,0,1,Male,0,27,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,12.4,0.5,1.79,Dropout,26-29
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,116.0,1,Higher Education,Higher Education,Professionals,Professionals,115.2,0,0,1,1,Male,0,32,0,2,7,16,3,12.0,0,3,8,10,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled,30+
Single,Special/Island/Ordinance,3,Education,1,Secondary Education,134.0,1,No Schooling/Primary,Basic Education,Elementary,Service/Sales,121.4,1,0,0,1,Female,1,23,0,0,6,10,4,14.25,1,0,6,8,5,12.0,0,7.6,2.6,0.32,Enrolled,23-25
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,133.1,41,No Schooling/Primary,No Schooling/Primary,Elementary,Plant/Machine,134.8,0,0,0,1,Female,0,24,1,0,5,12,2,10.5,0,0,5,9,4,10.0,2,16.2,0.3,-0.92,Enrolled,23-25
Single,General,2,Arts/Communication,1,Secondary Education,140.0,1,Secondary,Secondary,Elementary,Elementary,136.9,1,0,0,1,Female,1,19,0,0,6,7,6,13.5,0,0,6,7,6,14.428571428571429,0,16.2,0.3,-0.92,Graduate,17-19
Single,Transfer/Change,1,Agriculture,1,Secondary Education,140.0,1,Basic Education,Basic Education,Clerical,Clerical,140.0,1,0,0,1,Male,0,25,0,0,6,14,5,11.666666666666666,0,0,6,11,4,12.0,0,15.5,2.8,-4.06,Enrolled,23-25
Single,General,6,Business/Economy,1,Secondary Education,108.0,1,Secondary,Basic Education,Clerical,Service/Sales,112.2,1,0,0,1,Male,0,19,0,0,6,13,5,10.8,0,0,6,12,3,10.0,0,9.4,-0.8,-3.12,Enrolled,17-19
Single,General,3,Arts/Communication,1,Secondary Education,149.0,1,Secondary,Higher Education,Other,Other,148.7,0,0,0,0,Male,0,20,0,0,4,4,0,0.0,0,0,4,8,0,0.0,0,10.8,1.4,1.74,Dropout,20-22
Married/Union,General,1,Business/Economy,1,Secondary Education,140.0,1,Basic Education,No Schooling/Primary,Clerical,Craft/Trade,133.0,0,0,0,1,Male,0,33,0,3,9,11,9,12.8,0,2,7,9,7,11.428571428571429,0,12.7,3.7,-1.7,Graduate,30+
Married/Union,Transfer/Change,1,Business/Economy,0,Secondary Education,140.0,1,No Schooling/Primary,Other,Elementary,Elementary,150.0,0,0,1,1,Male,0,35,0,0,5,6,5,10.8,0,0,5,7,5,12.0,2,9.4,-0.8,-3.12,Dropout,30+
Single,General,1,Business/Economy,1,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,98.0,1,0,0,1,Male,0,23,0,0,5,8,4,11.4,0,0,5,7,4,11.0,0,11.1,0.6,2.02,Graduate,23-25
Single,General,1,Health/Medicine,1,Secondary Education,125.0,1,No Schooling/Primary,Basic Education,Elementary,Elementary,122.4,1,0,0,1,Male,0,19,0,0,7,7,7,13.725714285714286,0,0,8,8,8,14.5,0,11.1,0.6,2.02,Graduate,17-19
Single,General,1,Business/Economy,1,Secondary Education,133.1,1,Secondary,No Schooling/Primary,Elementary,Other,139.0,0,0,0,1,Male,0,21,0,0,6,6,5,12.8,0,0,6,9,5,12.25,0,10.8,1.4,1.74,Enrolled,20-22
Single,General,5,Arts/Communication,1,Secondary Education,133.1,1,Secondary,Basic Education,Technicians,Technicians,112.0,1,0,0,1,Male,1,21,0,0,6,6,6,13.5,0,0,6,6,6,11.166666666666666,0,11.1,0.6,2.02,Graduate,20-22
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Technicians,Craft/Trade,143.8,0,0,0,1,Male,0,27,0,0,8,8,7,15.57,0,0,8,8,7,15.57,0,10.8,1.4,1.74,Dropout,26-29
Single,General,3,Business/Economy,1,Secondary Education,122.0,1,Higher Education,No Schooling/Primary,Professionals,Craft/Trade,116.1,1,0,1,1,Male,0,19,0,0,5,10,4,11.0,0,0,5,13,2,12.0,0,8.9,1.4,3.51,Enrolled,17-19
Single,Other,2,Health/Medicine,1,Higher Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,138.0,0,0,0,1,Male,0,28,0,0,7,7,7,14.114285714285714,0,0,8,9,8,15.91111111111111,0,16.2,0.3,-0.92,Dropout,26-29
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,123.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,110.0,0,0,0,1,Male,0,25,0,0,5,12,3,11.0,1,0,5,12,4,11.5,0,9.4,-0.8,-3.12,Enrolled,23-25
Married/Union,Transfer/Change,1,Social Sciences,1,Basic Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Elementary,Clerical,103.5,0,0,0,1,Male,0,42,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,30+
Single,Other,1,Business/Economy,0,Higher Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,140.0,0,0,0,1,Male,0,27,0,0,5,6,4,13.5,0,0,5,6,4,13.75,0,7.6,2.6,0.32,Graduate,26-29
Single,General,1,Arts/Communication,1,Secondary Education,116.0,1,Higher Education,Higher Education,Other,Managers,108.7,1,0,0,1,Male,0,23,0,0,6,9,4,11.25,1,0,6,10,0,0.0,4,7.6,2.6,0.32,Dropout,23-25
Single,General,3,Business/Economy,1,Secondary Education,118.0,1,Basic Education,Secondary,Clerical,Clerical,115.9,1,0,0,1,Male,1,18,0,0,6,7,6,12.142857142857142,0,0,6,8,6,11.333333333333334,0,8.9,1.4,3.51,Graduate,17-19
Married/Union,Transfer/Change,1,Health/Medicine,1,Secondary Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Clerical,127.3,0,0,0,1,Male,0,26,0,0,8,8,7,13.075714285714286,0,0,8,8,7,13.075714285714286,0,10.8,1.4,1.74,Graduate,26-29
Single,General,4,Business/Economy,1,Secondary Education,146.0,1,Higher Education,Secondary,Technicians,Other,138.7,0,0,0,1,Male,0,18,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,8.9,1.4,3.51,Dropout,17-19
Single,Transfer/Change,1,Business/Economy,0,Secondary Education,150.0,1,Higher Education,Higher Education,Professionals,Professionals,135.8,0,0,1,1,Male,0,29,0,1,5,9,3,11.0,0,0,5,11,2,13.5,0,12.7,3.7,-1.7,Dropout,26-29
Single,General,1,Engineering/Tech,1,Secondary Education,137.0,1,Secondary,Secondary,Clerical,Craft/Trade,134.6,1,0,0,1,Male,0,22,0,0,6,16,0,0.0,0,0,6,7,0,0.0,0,16.2,0.3,-0.92,Dropout,20-22
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,136.0,1,Basic Education,No Schooling/Primary,Craft/Trade,Plant/Machine,118.4,1,0,0,1,Female,0,21,0,0,7,12,4,13.125,0,0,7,8,6,12.333333333333334,0,13.9,-0.3,0.79,Enrolled,20-22
Single,General,3,Health/Medicine,1,Secondary Education,134.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Elementary,132.8,1,0,0,1,Female,1,19,0,0,8,8,7,13.512857142857142,0,0,8,8,7,13.512857142857142,0,10.8,1.4,1.74,Graduate,17-19
Single,General,1,Social Sciences,1,Secondary Education,160.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Craft/Trade,155.5,1,0,0,1,Female,1,18,0,0,6,7,6,12.833333333333334,0,0,6,6,6,12.166666666666666,0,10.8,1.4,1.74,Graduate,17-19
Single,General,3,Engineering/Tech,1,Secondary Education,126.0,1,No Schooling/Primary,Secondary,Elementary,Elementary,132.0,1,0,0,1,Female,1,18,0,0,5,8,3,15.0,2,0,5,9,3,11.666666666666666,0,9.4,-0.8,-3.12,Dropout,17-19
Single,Transfer/Change,1,Agriculture,1,Basic Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Clerical,Elementary,110.0,0,0,1,0,Female,0,40,0,0,6,12,5,12.8,0,0,6,16,3,13.333333333333334,0,11.1,0.6,2.02,Dropout,30+
Single,General,3,Business/Economy,1,Secondary Education,114.0,26,No Schooling/Primary,Higher Education,Elementary,Technicians,127.3,1,0,1,0,Female,0,20,1,0,6,14,3,12.333333333333334,0,0,6,16,0,0.0,0,10.8,1.4,1.74,Dropout,20-22
Single,General,3,Health/Medicine,1,Secondary Education,139.0,1,Higher Education,Secondary,Clerical,Managers,126.0,1,0,0,1,Male,0,18,0,0,8,15,5,12.288,1,0,8,15,5,12.288,1,10.8,1.4,1.74,Dropout,17-19
Single,Transfer/Change,2,Social Sciences,0,Higher Education,130.0,1,Other,Other,Other,Other,130.0,0,0,0,1,Male,0,31,0,8,12,21,12,12.333333333333334,0,6,10,13,7,13.285714285714286,2,7.6,2.6,0.32,Graduate,30+
Single,General,2,Business/Economy,1,Secondary Education,131.0,1,Secondary,Secondary,Elementary,Elementary,118.8,0,0,0,1,Male,1,18,0,0,5,9,4,11.5,0,0,5,5,5,12.8,0,12.4,0.5,1.79,Graduate,17-19
Single,Transfer/Change,2,Business/Economy,1,Secondary Education,130.0,1,Basic Education,Secondary,Clerical,Clerical,127.6,1,0,0,1,Male,0,22,0,4,6,6,6,11.833333333333334,0,0,6,11,4,11.142857142857142,0,10.8,1.4,1.74,Dropout,20-22
Single,Transfer/Change,1,Business/Economy,1,Basic Education,133.1,1,Basic Education,Basic Education,Elementary,Service/Sales,112.1,0,0,1,0,Male,0,38,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout,30+
Single,Transfer/Change,1,Business/Economy,0,Higher Education,130.0,1,Higher Education,Secondary,Professionals,Elementary,130.0,0,0,0,1,Male,0,33,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,30+
Single,General,3,Engineering/Tech,1,Secondary Education,117.0,1,Secondary,Secondary,Technicians,Service/Sales,111.1,0,0,0,1,Male,1,19,0,0,5,10,5,11.8,0,0,5,12,3,11.5,0,11.1,0.6,2.02,Enrolled,17-19
Single,General,1,Business/Economy,1,Secondary Education,127.0,1,Higher Education,Higher Education,Managers,Managers,121.4,0,0,0,1,Male,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,17-19
Single,General,5,Engineering/Tech,1,Secondary Education,131.0,1,Secondary,Basic Education,Clerical,Craft/Trade,126.8,0,0,0,0,Male,1,18,0,0,5,6,5,12.2,0,0,5,8,4,12.0,0,8.9,1.4,3.51,Enrolled,17-19
Single,Transfer/Change,1,Business/Economy,0,Secondary Education,134.0,1,Secondary,Secondary,Service/Sales,Technicians,120.6,1,0,0,1,Male,0,27,0,2,6,6,6,12.333333333333334,0,0,5,5,5,13.0,0,11.1,0.6,2.02,Graduate,26-29
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,126.5,0,0,0,1,Male,0,26,0,0,6,7,6,12.428571428571429,0,0,6,6,6,12.833333333333334,0,7.6,2.6,0.32,Graduate,26-29
Single,General,6,Health/Medicine,1,Secondary Education,127.0,1,Secondary,Basic Education,Technicians,Technicians,120.2,1,0,0,1,Female,1,19,0,0,7,7,7,12.765714285714289,0,0,8,9,8,13.544444444444444,0,12.4,0.5,1.79,Graduate,17-19
Married/Union,Transfer/Change,1,Health/Medicine,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Service/Sales,120.0,0,0,0,1,Male,0,44,0,0,7,11,5,12.1,0,0,7,10,5,12.6,0,11.1,0.6,2.02,Dropout,30+
Single,General,2,Business/Economy,1,Secondary Education,142.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,137.5,1,0,0,1,Male,0,19,0,0,5,10,5,12.0,0,0,5,9,5,11.5,0,13.9,-0.3,0.79,Graduate,17-19
Single,General,1,Arts/Communication,1,Secondary Education,117.0,1,Secondary,No Schooling/Primary,Clerical,Craft/Trade,127.9,1,0,0,1,Male,0,20,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,9.4,-0.8,-3.12,Dropout,20-22
Single,Transfer/Change,1,Agriculture,1,Basic Education,133.1,1,Basic Education,No Schooling/Primary,Managers,Managers,140.0,0,0,1,1,Male,0,24,0,0,6,10,6,14.88888888888889,0,0,6,11,6,13.727272727272728,0,16.2,0.3,-0.92,Enrolled,23-25
Separated/Divorced/Widower,Transfer/Change,1,Business/Economy,0,Secondary Education,164.0,1,No Schooling/Primary,No Schooling/Primary,Agriculture/Fishery,Agriculture/Fishery,131.8,0,0,0,1,Female,0,31,0,7,14,19,13,11.357142857142858,0,9,14,14,13,12.0,1,9.4,-0.8,-3.12,Graduate,30+
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,129.0,1,0,0,1,Female,0,25,0,0,6,6,6,13.5,0,0,6,6,6,12.5,0,9.4,-0.8,-3.12,Graduate,23-25
